unitid,institution name,year,institution name,IC2021.Open admission policy,IC2021.Institutional control or affiliation,IC2021.Religious affiliation,IC2021mission.Mission statement,IC2021mission.Mission statement URL (if mission statement not provided),HD2021.Institution size category,HD2021.State abbreviation,HD2021.FIPS state code,HD2021.Sector of institution,HD2021.Level of institution,HD2021.Control of institution,HD2021.Degree-granting status,HD2021.Historically Black College or University,HD2021.Tribal college,HD2021.Land Grant Institution,HD2021.Degree of urbanization (Urban-centric locale),HD2021.Institutional category,HD2021.Carnegie Classification 2021: Basic,,,,,,,,,,,,,,
181215,University of Nebraska at Kearney,2021,University of Nebraska at Kearney,No,Public,Not applicable,,catalog.unk.edu/undergraduate/general-information/mission/,"5,000 - 9,999",Nebraska,Nebraska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
181297,Nebraska Methodist College of Nursing & Allied Health,2021,Nebraska Methodist College of Nursing & Allied Health,No,Private not-for-profit (religious affiliation),United Methodist,"As a health professions institution, we provide educational experiences for the development of individuals in order that they may positively influence the health and well being of the community.",,"1,000 - 4,999",Nebraska,Nebraska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Other Health Professions Schools,,,,,,,,,,,,,,
181303,Metropolitan Community College Area,2021,Metropolitan Community College Area,Yes,Public,Not applicable,,https://www.mccneb.edu/about-mcc-nebraska/about-mcc/mission.aspx,"10,000 - 19,999",Nebraska,Nebraska,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,,,,,,,,,,,
181312,Mid-Plains Community College,2021,Mid-Plains Community College,Yes,Public,Not applicable,,www.mpcc.edu/about/index.php,"1,000 - 4,999",Nebraska,Nebraska,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,,,,,,,,,,,
181330,Midland University,2021,Midland University,No,Private not-for-profit (religious affiliation),Evangelical Lutheran Church,,https://www.midlandu.edu/about/mission-history/,"1,000 - 4,999",Nebraska,Nebraska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Small Programs,,,,,,,,,,,,,,
181394,University of Nebraska at Omaha,2021,University of Nebraska at Omaha,No,Public,Not applicable,,www.unomaha.edu/about-uno/mission.php,"10,000 - 19,999",Nebraska,Nebraska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: High Research Activity,,,,,,,,,,,,,,
181419,Nebraska Indian Community College,2021,Nebraska Indian Community College,Yes,Public,Not applicable,,www.thenicc.edu/about/mission-statement.php,"Under 1,000",Nebraska,Nebraska,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,Yes,Land Grant Institution,Rural: Distant,"Degree-granting, associate's and certificates",Tribal Colleges,,,,,,,,,,,,,,
181428,University of Nebraska Medical Center,2021,University of Nebraska Medical Center,Not applicable,Public,Not applicable,"Our mission is to lead the world in transforming lives to create a healthy future for all individuals and communities through premier educational programs, innovative research and extraordinary patient care.",,"1,000 - 4,999",Nebraska,Nebraska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Research Institutions,,,,,,,,,,,,,,
181446,Nebraska Wesleyan University,2021,Nebraska Wesleyan University,No,Private not-for-profit (religious affiliation),United Methodist,,https://www.nebrwesleyan.edu/about-nwu/mission-and-core-values,"1,000 - 4,999",Nebraska,Nebraska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Small Programs,,,,,,,,,,,,,,
181464,University of Nebraska-Lincoln,2021,University of Nebraska-Lincoln,No,Public,Not applicable,,https://www.unl.edu/about/role-mission/,"20,000 and above",Nebraska,Nebraska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
181491,Northeast Community College,2021,Northeast Community College,Yes,Public,Not applicable,,https://northeast.edu/about-us/mission-vision-values,"5,000 - 9,999",Nebraska,Nebraska,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
181534,Peru State College,2021,Peru State College,Yes,Public,Not applicable,"Peru State College provides students of all backgrounds access to engaging educational experiences to strengthen and enrich communities, Nebraska and the world.",,"1,000 - 4,999",Nebraska,Nebraska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
181543,Summit Christian College,2021,Summit Christian College,No,Private not-for-profit (religious affiliation),Churches of Christ,,https://www.summitcc.edu/statement,"Under 1,000",Nebraska,Nebraska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, primarily baccalaureate or above",Special Focus Four-Year: Faith-Related Institutions,,,,,,,,,,,,,,
181604,College of Saint Mary,2021,College of Saint Mary,No,Private not-for-profit (religious affiliation),Roman Catholic,,www.csm.edu/our-mission,"1,000 - 4,999",Nebraska,Nebraska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
181640,Southeast Community College Area,2021,Southeast Community College Area,Yes,Public,Not applicable,,https://www.southeast.edu/missionstatement/,"5,000 - 9,999",Nebraska,Nebraska,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
181738,Union College,2021,Union College,No,Private not-for-profit (religious affiliation),Seventh Day Adventist,,https://ucollege.edu/mission,"Under 1,000",Nebraska,Nebraska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
181747,University of Nebraska-Central Administration System Office,2021,University of Nebraska-Central Administration System Office,Not applicable,Public,Not applicable,,,Not applicable,Nebraska,Nebraska,Administrative Unit,Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
181765,Nebraska College of Technical Agriculture,2021,Nebraska College of Technical Agriculture,Yes,Public,Not applicable,,ncta.unl.edu/mission-statement,"Under 1,000",Nebraska,Nebraska,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Remote,"Degree-granting, associate's and certificates",Special Focus Two-Year: Other Fields,,,,,,,,,,,,,,
181783,Wayne State College,2021,Wayne State College,Yes,Public,Not applicable,"Wayne State College is a comprehensive institution of higher education dedicated to freedom of inquiry, excellence in teaching and learning, and regional service and development. Offering affordable undergraduate and graduate programs, the College prepares students for careers, advanced study and civic involvement. The College is committed to faculty-staff-student interaction, public service and diversity within a friendly and collegial campus community.",,"1,000 - 4,999",Nebraska,Nebraska,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
181817,Western Nebraska Community College,2021,Western Nebraska Community College,Yes,Public,Not applicable,,www.wncc.edu/about-wncc/,"1,000 - 4,999",Nebraska,Nebraska,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
181853,York University,2021,York College,No,Private not-for-profit (religious affiliation),Churches of Christ,,https://www.york.edu/mission-statement.html,"Under 1,000",Nebraska,Nebraska,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
181880,Academy of Hair Design-Las Vegas,2021,Academy of Hair Design-Las Vegas,Yes,Private for-profit,Not applicable,"We, Academy of Hair Design, together are on a mission of Graduating to Success"" by preparing our students to successfully pass the Nevada State Board of Cosmetology written and practical exams and become industry employable.  We hope to make a positive difference in the lives of our students.  We will strive to treat each student as an individual working with their strengths and weaknesses and provide quality education though caring educators and a compassionate staff.""",,"Under 1,000",Nevada,Nevada,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,City: Large,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
181941,Career College of Northern Nevada,2021,Career College of Northern Nevada,Yes,Private for-profit,Not applicable,"The mission of Career College of Northern Nevada is to meet the needs of local employers in our community by graduating exceptionally prepared, professional and self-confident students for high demand careers with potential for a return on their investment in terms of wages and growth potential.  Career College of Northern Nevada strives to be the most reputable and respected Career College in the region by helping to guide and ignite the passion within every student.",,"Under 1,000",Nevada,Nevada,"Private for-profit, 2-year",At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,,,,,,,,,,,,,,
182005,College of Southern Nevada,2021,College of Southern Nevada,Yes,Public,Not applicable,,www.csn.edu/our-mission,"20,000 and above",Nevada,Nevada,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, not primarily baccalaureate or above",Baccalaureate/Associate's Colleges: Associate's Dominant,,,,,,,,,,,,,,
182148,Las Vegas College,2021,Las Vegas College,Yes,Private for-profit,Not applicable,"Las Vegas College (LVC) values its diverse student population and is committed to providing professional, career-oriented higher education.  These opportunities allow students to reach their personal and professional goals.  Through educational rigor, faculty and staff who are dedicated to student achievement, Las Vegas College prepares graduates for successful careers, lifelong learning, and to provide service to Las Vegas and surrounding areas.",,"Under 1,000",Nevada,Nevada,"Private for-profit, 4-year or above",Four or more years,Private for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Special Focus Two-Year: Health Professions,,,,,,,,,,,,,,
182281,University of Nevada-Las Vegas,2021,University of Nevada-Las Vegas,No,Public,Not applicable,,https://www.unlv.edu/about/mission,"20,000 and above",Nevada,Nevada,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
182290,University of Nevada-Reno,2021,University of Nevada-Reno,No,Public,Not applicable,,https://www.unr.edu/accreditation/mission,"20,000 and above",Nevada,Nevada,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Land Grant Institution,City: Large,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
182306,Great Basin College,2021,Great Basin College,Yes,Public,Not applicable,,https://www.gbcnv.edu/about/mission.html,"1,000 - 4,999",Nevada,Nevada,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, not primarily baccalaureate or above",Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,,,,,,,,,,,,,,
182458,Sierra Nevada University,2021,Sierra Nevada University,No,Private not-for-profit (no religious affiliation),Not applicable,"Our graduates will be scholars of and contributors to a sustainable world.  SNC combines the liberal arts and professional preparedness through an interdisciplinary curriculum which emphasizes entrepreneurial thinking and environmental, social, economic, and educational sustainability.",,"Under 1,000",Nevada,Nevada,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
182500,Truckee Meadows Community College,2021,Truckee Meadows Community College,Yes,Public,Not applicable,,www.tmcc.edu/about/,"5,000 - 9,999",Nevada,Nevada,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,"Degree-granting, not primarily baccalaureate or above",Baccalaureate/Associate's Colleges: Associate's Dominant,,,,,,,,,,,,,,
182519,Nevada System of Higher Education-System Office,2021,Nevada System of Higher Education-System Office,Not applicable,Public,Not applicable,,,Not applicable,Nevada,Nevada,Administrative Unit,Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Large,Not applicable,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
182564,Western Nevada College,2021,Western Nevada College,Yes,Public,Not applicable,,https://wnc.edu/explore-wnc/mission-themes/,"1,000 - 4,999",Nevada,Nevada,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, not primarily baccalaureate or above",Baccalaureate/Associate's Colleges: Associate's Dominant,,,,,,,,,,,,,,
182634,Colby-Sawyer College,2021,Colby-Sawyer College,No,Private not-for-profit (no religious affiliation),Not applicable,,https://colby-sawyer.edu/strategic-plan/mission,"Under 1,000",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Distant,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
182670,Dartmouth College,2021,Dartmouth College,No,Private not-for-profit (no religious affiliation),Not applicable,,https://home.dartmouth.edu/about,"5,000 - 9,999",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
182704,Empire Beauty School-Laconia,2021,Empire Beauty School-Laconia,Yes,Private for-profit,Not applicable,,www.empirebeautyschools.com/studentcatalog.cfm,"Under 1,000",New Hampshire,New Hampshire,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Town: Distant,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
182722,Empire Beauty School-Somersworth,2021,Empire Beauty School-Somersworth,Yes,Private for-profit,Not applicable,,www.empirebeautyschools.com/studentcatalog.cfm,"Under 1,000",New Hampshire,New Hampshire,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Small,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
182795,Franklin Pierce University,2021,Franklin Pierce University,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.franklinpierce.edu/about/mission.htm,"1,000 - 4,999",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
182829,University of New Hampshire-Franklin Pierce School of Law,2021,University of New Hampshire-Franklin Pierce School of Law,Not applicable,Public,Not applicable,,law.unh.edu/about/mission,"Under 1,000",New Hampshire,New Hampshire,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Fringe,"Degree-granting, graduate with no undergraduate degrees",Special Focus Four-Year: Law Schools,,,,,,,,,,,,,,
182892,Keene Beauty Academy,2021,Keene Beauty Academy,Yes,Private for-profit,Not applicable,"Professional cosmetologists, estheticians, and manicurists are in high demand. We feel that a strong, solid educational foundation allows for individual growth. Whether our graduates choose to be stylists, salon owners, platform artists, makeup or skin care specialists, or instructors, the education they receive will support their dreams.  • Our philosophy is to encourage and develop talent, desire and confidence in each of our students. • Our goal is to instill commitment, challenge, purpose and spirit; guaranteeing each student the opportunity to perform at their best. • We provide a safe, positive learning environment to acquire the knowledge, skill and expertise to become a successful professional within the beauty industry. We truly believe that “A quality education is the foundation to a promising career.”",,"Under 1,000",New Hampshire,New Hampshire,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Town: Distant,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
182917,Magdalen College,2021,Magdalen College,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://magdalen.edu/about/mission/,"Under 1,000",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Distant,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
182953,Michael's School of Hair Design & Esthetics,2021,Michael's School of Hair Design & Esthetics,Yes,Private for-profit,Not applicable,"Through training, the primary goal of Michael's School of Hair Design & Esthetics is to develop in our students artistic talent, technical skills & professional competence required to become a successful barber, cosmetologist, esthetician, nail technician or instructor and to pass the NH State Exam.  Overall, our commitment is to raise the standards of professionalism in the industry.  Although the hands on detail of technical skills is our focus, we are dedicated to classroom teaching-visual, auditory & motor learners; professional ethics and personal skills needed as marketable tools while seeking to provide the best learning facility and curriculum for our students in their quest to become successful.  Therefore, upon course completion, the student is prepared to pass the NH State Exam and to confidently enter the job market utilizing their skills for growth and advancement while making a contribution to the industry and the trades of the profession.",,"Under 1,000",New Hampshire,New Hampshire,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Midsize,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
182980,New England College,2021,New England College,No,Private not-for-profit (no religious affiliation),Not applicable,,www.nec.edu/about/#mission_and_vision,"1,000 - 4,999",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Rural: Distant,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
182999,New England School of Hair Design,2021,New England School of Hair Design,Yes,Private for-profit,Not applicable,"New England School of Hair Design is dedicated to providing a learning environment comprised of the information and learning experiences necessary for the student to:      Attain the knowledge necessary to pass the state licensing exams and,     Attain the knowledge necessary to be highly employable and market ready in the Cosmetology industry.  By:      Implementing learner motivated, hands on, competency based teaching techniques,     Developing and implementing useful and positive communications with employers in the field, with the purpose of continually updating curricula to best fulfill current market trends,     Providing quality student/client experiences to prepare the student for the transition from school to the professional level.",,"Under 1,000",New Hampshire,New Hampshire,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Rural: Fringe,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
183026,Southern New Hampshire University,2021,Southern New Hampshire University,No,Private not-for-profit (no religious affiliation),Not applicable,,https://www.snhu.edu/about-us,"20,000 and above",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
183035,New Hampshire Institute for Therapeutic Arts,2021,New Hampshire Institute for Therapeutic Arts,Yes,Private for-profit,Not applicable,"MISSION  The mission of New Hampshire Institute for Therapeutic Arts is to provide professional  preparation in Massage Therapy. Our primary academic objective is to teach Massage Therapy  within the overall context of Natural Therapeutics, thereby to produce graduates who are  health professionals in every sense. Along with and beyond knowledge of anatomy and  physiology, we provide training and education in applications of specific methods, indications  and contraindications for various techniques, therapeutic sensitivity, client relations, recognition  of adjunctive therapies, and basic business and ethical skills in managing a practice. Our  training emphasizes Massage Therapy as an ideal preventative and curative method, within the  framework and experience of a health center, and as such support with the wellness model of  health care.",,"Under 1,000",New Hampshire,New Hampshire,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,City: Small,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
183044,University of New Hampshire-Main Campus,2021,University of New Hampshire-Main Campus,No,Public,Not applicable,,https://www.unh.edu/president/strategic-plan,"10,000 - 19,999",New Hampshire,New Hampshire,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Land Grant Institution,Suburb: Small,"Degree-granting, primarily baccalaureate or above",Doctoral Universities: Very High Research Activity,,,,,,,,,,,,,,
183062,Keene State College,2021,Keene State College,No,Public,Not applicable,,www.keene.edu/administration/mission/,"1,000 - 4,999",New Hampshire,New Hampshire,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Distant,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Diverse Fields,,,,,,,,,,,,,,
183071,University of New Hampshire at Manchester,2021,University of New Hampshire at Manchester,No,Public,Not applicable,,https://www.unh.edu/president/strategic-plan,"Under 1,000",New Hampshire,New Hampshire,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
183080,Plymouth State University,2021,Plymouth State University,No,Public,Not applicable,,campus.plymouth.edu/president/institutional-mission/,"1,000 - 4,999",New Hampshire,New Hampshire,"Public, 4-year or above",Four or more years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Larger Programs,,,,,,,,,,,,,,
183099,NHTI-Concord's Community College,2021,NHTI-Concord's Community College,Yes,Public,Not applicable,,https://www.nhti.edu/about/nhti-you-belong-here/presidents-office/mission-vision-values/,"1,000 - 4,999",New Hampshire,New Hampshire,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,,,,,,,,,,,
183105,White Mountains Community College,2021,White Mountains Community College,Yes,Public,Not applicable,,www.wmcc.edu/about-wmcc/mission,"Under 1,000",New Hampshire,New Hampshire,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Town: Remote,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Nontraditional,,,,,,,,,,,,,,
183114,River Valley Community College,2021,River Valley Community College,Yes,Public,Not applicable,,www.rivervalley.edu/about/river-valley-principles/,"Under 1,000",New Hampshire,New Hampshire,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Nontraditional,,,,,,,,,,,,,,
183123,Lakes Region Community College,2021,Lakes Region Community College,Yes,Public,Not applicable,,https://www.lrcc.edu/about/about-lrcc/,"Under 1,000",New Hampshire,New Hampshire,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's Colleges: High Career & Technical-High Nontraditional,,,,,,,,,,,,,,
183132,Manchester Community College,2021,Manchester Community College,Yes,Public,Not applicable,,www.mccnh.edu/about/mission-vision-values,"1,000 - 4,999",New Hampshire,New Hampshire,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Midsize,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,,,,,,,,,,,
183141,Nashua Community College,2021,Nashua Community College,Yes,Public,Not applicable,,nashuacc.edu/about/welcome/mission-statement,"1,000 - 4,999",New Hampshire,New Hampshire,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,,,,,,,,,,,
183150,Great Bay Community College,2021,Great Bay Community College,Yes,Public,Not applicable,,https://greatbay.edu/about/vision-mission-core-values,"1,000 - 4,999",New Hampshire,New Hampshire,"Public, 2-year",At least 2 but less than 4 years,Public,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Small,"Degree-granting, associate's and certificates",Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,,,,,,,,,,,,,,
183202,Paul Mitchell the School-Portsmouth,2021,Paul Mitchell the School-Portsmouth,Yes,Private for-profit,Not applicable,"At Paul Mitchell The School Portsmouth our mission is to provide a quality educational system to prepare students to pass the state board examination and gain employment within their chosen field of study. We promote and recognize the principles of fairness, equity, inclusion, anti-racism, and social justice. Our culture is about celebrating diversity, bringing out the best in people and situations, changing lives, making a difference, giving back, healing the planet, and healing ourselves. We also provide a solid educational foundation to empower our team members in the pursuit of excellence. We strongly believe that when people come first, success will follow.",,"Under 1,000",New Hampshire,New Hampshire,"Private for-profit, less-than 2-year",Less than 2 years (below associate),Private for-profit,"Nondegree-granting, primarily postsecondary",No,No,Not a Land Grant Institution,Suburb: Small,"Nondegree-granting, sub-baccalaureate","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",,,,,,,,,,,,,,
183211,Rivier University,2021,Rivier University,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.rivier.edu/about/mission/,"1,000 - 4,999",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,City: Small,"Degree-granting, primarily baccalaureate or above",Master's Colleges & Universities: Medium Programs,,,,,,,,,,,,,,
183239,Saint Anselm College,2021,Saint Anselm College,No,Private not-for-profit (religious affiliation),Roman Catholic,,https://www.anselm.edu/about/history-mission,"1,000 - 4,999",New Hampshire,New Hampshire,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,Degree-granting,No,No,Not a Land Grant Institution,Suburb: Midsize,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges: Arts & Sciences Focus,,,,,,,,,,,,,,
